id,organismo,linea_servicio,dia,fecha,afluencia_tarjeta,afluencia_boleto,afluencia_total_preliminar
1,Ecobici,N/A,Domingo,2020-03-01,,,"11,238"
2,Ecobici,N/A,Lunes,2020-03-02,,,"29,475"
3,Ecobici,N/A,Martes,2020-03-03,,,"31,855"
4,Ecobici,N/A,Miércoles,2020-03-04,,,"31,477"
5,Ecobici,N/A,Jueves,2020-03-05,,,"31,493"
6,Ecobici,N/A,Viernes,2020-03-06,,,"29,035"
7,Ecobici,N/A,Sábado,2020-03-07,,,"12,800"
8,Ecobici,N/A,Domingo,2020-03-08,,,"11,911"
9,Ecobici,N/A,Lunes,2020-03-09,,,"23,154"
10,Ecobici,N/A,Martes,2020-03-10,,,"31,211"
11,Ecobici,N/A,Miércoles,2020-03-11,,,"31,609"
12,Ecobici,N/A,Jueves,2020-03-12,,,"30,986"
13,Ecobici,N/A,Viernes,2020-03-13,,,"28,080"
14,Ecobici,N/A,Sábado,2020-03-14,,,"11,216"
15,Ecobici,N/A,Domingo,2020-03-15,,,"8,492"
16,Ecobici,N/A,Lunes,2020-03-16,,,"8,360"
17,Ecobici,N/A,Martes,2020-03-17,,,"22,169"
18,Ecobici,N/A,Miércoles,2020-03-18,,,"19,509"
19,Ecobici,N/A,Jueves,2020-03-19,,,"16,676"
20,Ecobici,N/A,Viernes,2020-03-20,,,"16,091"
21,Ecobici,N/A,Sábado,2020-03-21,,,"6,760"
22,Ecobici,N/A,Domingo,2020-03-22,,,"5,770"
23,Ecobici,N/A,Lunes,2020-03-23,,,"11,697"
24,Ecobici,N/A,Martes,2020-03-24,,,"11,358"
25,Ecobici,N/A,Miércoles,2020-03-25,,,"10,541"
26,Ecobici,N/A,Jueves,2020-03-26,,,"9,691"
27,Ecobici,N/A,Viernes,2020-03-27,,,"9,478"
28,Ecobici,N/A,Sábado,2020-03-28,,,"5,911"
29,Ecobici,N/A,Domingo,2020-03-29,,,"4,125"
30,Ecobici,N/A,Lunes,2020-03-30,,,"8,044"
31,Ecobici,N/A,Martes,2020-03-31,,,"7,780"
32,Ecobici,N/A,Miércoles,2020-04-01,,,"7,141"
33,Ecobici,N/A,Jueves,2020-04-02,,,"6,355"
34,Ecobici,N/A,Viernes,2020-04-03,,,"6,324"
35,Ecobici,N/A,Sábado,2020-04-04,,,"4,268"
